sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194190	SRS155807	SRR095778	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095778/SRR095778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095778/SRR095778_2.fastq.gz
SAMN00194190	SRS155807	SRR095779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095779/SRR095779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095779/SRR095779_2.fastq.gz
SAMN00194191	SRS155808	SRR095780	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095780/SRR095780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095780/SRR095780_2.fastq.gz
SAMN00194191	SRS155808	SRR095781	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095781/SRR095781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095781/SRR095781_2.fastq.gz
SAMN00194186	SRS155803	SRR095782	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095782/SRR095782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095782/SRR095782_2.fastq.gz
SAMN00194192	SRS155809	SRR095783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095783/SRR095783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095783/SRR095783_2.fastq.gz
SAMN00194192	SRS155809	SRR095784	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095784/SRR095784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095784/SRR095784_2.fastq.gz
SAMN00194186	SRS155803	SRR095785	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095785/SRR095785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095785/SRR095785_2.fastq.gz
SAMN00194193	SRS155810	SRR095786	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095786/SRR095786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095786/SRR095786_2.fastq.gz
SAMN00194193	SRS155810	SRR095787	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095787/SRR095787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095787/SRR095787_2.fastq.gz
SAMN00194194	SRS155811	SRR095788	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095788/SRR095788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095788/SRR095788_2.fastq.gz
SAMN00194194	SRS155811	SRR095789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095789/SRR095789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095789/SRR095789_2.fastq.gz
